company_number,company_name,status,date_of_creation,type,company_category,jurisdiction,last_accounts_date,next_accounts_due,confirmation_statement_date,has_insolvency_history,registered_office_address,sic_codes,officers,recent_filings,charges,psc
09277122,THE EAST INDIA COMPANY LIMITED,active,2014-10-23,ltd,,england-wales,2024-06-30,2026-03-31,2024-10-23,False,"{""address_line_1"": ""97 New Bond Street"", ""address_line_2"": ""Ground Floor"", ""country"": ""England"", ""locality"": ""London"", ""postal_code"": ""W1S 1SL""}",55100,"BHANSALI, Manan; MEHTA, Sanjiv Mahendra; GANDHI, Tejas, Mr.",AA on 2025-03-24; CS01 on 2024-12-02; AP01 on 2024-08-29; TM01 on 2024-08-29; AA on 2024-02-08,,
01691920,THE ROYAL BANK OF SCOTLAND GROUP LIMITED,active,1983-01-18,ltd,,england-wales,2023-12-31,2025-09-30,2024-11-06,False,"{""address_line_1"": ""250 Bishopsgate"", ""country"": ""England"", ""locality"": ""London"", ""postal_code"": ""EC2M 4AA""}",99999,"NATWEST GROUP SECRETARIAL SERVICES LIMITED; EDWARDS, David Hywel; STEVENS, Mark",AP01 on 2025-05-06; TM01 on 2025-05-06; CS01 on 2024-11-06; AA on 2024-03-18; CS01 on 2023-11-20,,National Westminster Bank Plc
SC117120,SCOTTISH POWER UK PLC,active,1989-04-01,plc,,scotland,2024-12-31,2026-06-30,2025-02-21,False,"{""address_line_1"": ""320 St. Vincent Street"", ""country"": ""Scotland"", ""locality"": ""Glasgow"", ""postal_code"": ""G2 5AD""}",70100,"VENMAN, Marion; DEVANNEY, Caireen Mary; LANGAN, Charles Edward Joseph",AA on 2025-04-22; CS01 on 2025-02-21; TM01 on 2025-01-13; SH01 on 2024-10-23; RESOLUTIONS on 2024-10-08,,Scottish Power Limited
00445790,TESCO PLC,active,1947-11-27,plc,,england-wales,2024-02-24,2025-08-26,2024-06-18,False,"{""address_line_1"": ""Tesco House, Shire Park"", ""address_line_2"": ""Kestrel Way"", ""country"": ""United Kingdom"", ""locality"": ""Welwyn Garden City"", ""postal_code"": ""AL7 1GA""}",47110,"TAYLOR, Christopher Jon; BETHELL, Melissa; BODSON, Bertrand Jean Francois",SH03 on 2025-04-29; SH03 on 2025-04-29; AP03 on 2025-04-15; TM02 on 2025-04-14; AP01 on 2025-03-12,,
01026167,BARCLAYS BANK PLC,active,1971-10-04,plc,,england-wales,2023-12-31,2025-06-30,2024-11-04,False,"{""address_line_1"": ""1 Churchill Place"", ""address_line_2"": ""London"", ""postal_code"": ""E14 5HP""}",64191,"ELLWOOD, Hannah Elisabeth, Ms.; BERRY, Robert; CROSS, Angela Anna",MR01 on 2025-04-15; MR01 on 2025-04-14; CH01 on 2025-03-05; TM01 on 2025-02-11; CS01 on 2024-11-15,010261670273; 010261670272; 010261670271,Barclays Plc
04006623,ASOS PLC,active,2000-06-02,plc,,england-wales,2024-09-01,2026-02-28,2024-07-25,False,"{""address_line_1"": ""Greater London House"", ""address_line_2"": ""Hampstead Road"", ""locality"": ""London"", ""postal_code"": ""NW1 7FB""}",70100,"WHYTE, Emma; BARKER, William; CROSS, Christine",RESOLUTIONS on 2025-02-07; AA on 2025-02-07; ANNOTATION on 2025-01-29; SH01 on 2024-11-12; MR01 on 2024-09-26,040066230005; 040066230004; 040066230003,
00014259,HSBC BANK PLC,active,1880-07-01,plc,,england-wales,2024-12-31,2026-06-30,2024-12-06,False,"{""address_line_1"": ""8 Canada Square"", ""address_line_2"": ""London"", ""postal_code"": ""E14 5HQ""}",64191,"STUART, Lynne; CLACKSON, Patrick Andrew; ELLIS, Juliet Ann",AA on 2025-05-09; TM01 on 2025-04-25; TM01 on 2025-04-25; TM01 on 2025-04-25; MR01 on 2025-04-01,000142590107; 000142590106; 000142590105,Hsbc Holdings Plc; Hsbc Uk Holdings Limited; Hsbc Holdings Plc
03261722,SAINSBURY'S SUPERMARKETS LTD,active,1996-10-10,ltd,,england-wales,2024-03-02,2025-12-06,2024-08-01,False,"{""address_line_1"": ""33 Holborn"", ""address_line_2"": ""London"", ""postal_code"": ""EC1N 2HT""}",47110,"GRANT, Nicolas Stuart; BARTLETT, Rhian Helen; BERGIN, Blathnaid",CH01 on 2025-04-16; CH01 on 2025-04-16; CH01 on 2025-04-15; CH01 on 2025-04-15; AP01 on 2025-01-28,032617220036; 032617220035; 032617220034,J Sainsbury Plc
01800000,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,active,1984-04-01,plc,,england-wales,2024-03-31,2025-09-30,2024-08-09,False,"{""address_line_1"": ""1 Braham Street"", ""country"": ""United Kingdom"", ""locality"": ""London"", ""postal_code"": ""E1 8EE""}",61900,"GARA, Antony John; CHARNLEY, Helen; HARRIS, Neil Richard",TM01 on 2025-04-14; AP01 on 2025-04-14; CS01 on 2024-08-20; AA on 2024-08-07; CS01 on 2023-08-09,,Bt Group Investments Limited
00102498,BP P.L.C.,active,1909-04-14,plc,,england-wales,2024-12-31,2026-06-30,2024-05-05,False,"{""address_line_1"": ""1 St James's Square"", ""address_line_2"": ""London"", ""postal_code"": ""SW1Y 4PD""}",70100,"FAZAL, Alia; MATHEWS, Benedict John Spurway; THURSTON, Julian",AA on 2025-05-13; SH03 on 2025-05-07; SH03 on 2025-05-07; SH03 on 2025-05-07; RESOLUTIONS on 2025-05-02,,
03034606,EASYJET AIRLINE COMPANY LIMITED,active,1995-03-17,ltd,,england-wales,2023-09-30,2025-06-30,2025-03-17,False,"{""address_line_1"": ""Hangar 89 London Luton Airport"", ""address_line_2"": ""Luton"", ""locality"": ""Bedfordshire"", ""postal_code"": ""LU2 9PF""}",51101,"MATTHEWS, Benjamin Richard; DE RAEYMAEKER, Jan; EVEREST, Ann-Sophie",MR01 on 2025-04-15; CS01 on 2025-03-31; RESOLUTIONS on 2025-02-25; AP01 on 2025-01-23; TM01 on 2025-01-08,030346060231; 030346060230; 030346060229,Easyjet Plc
01003142,ROLLS-ROYCE PLC,active,1971-02-23,plc,,england-wales,2024-12-31,2026-06-30,2025-04-30,False,"{""address_line_1"": ""Kings Place"", ""address_line_2"": ""90 York Way"", ""country"": ""United Kingdom"", ""locality"": ""London"", ""postal_code"": ""N1 9FX""}","25300,25620,28110","CONACHER, Matthew Ian; O'GRADY, Claire-Marie; ARMSTRONG, Sarah Anne",CS01 on 2025-05-12; AP03 on 2025-05-01; TM02 on 2025-04-30; AA on 2025-03-25; AP03 on 2024-09-12,010031420012; 010031420011,Rolls-Royce Group Limited
00041424,UNILEVER PLC,active,1894-06-21,plc,,england-wales,2024-12-31,2026-06-30,2024-06-12,False,"{""address_line_1"": ""Port Sunlight"", ""address_line_2"": ""Wirral"", ""locality"": ""Merseyside"", ""postal_code"": ""CH62 4ZD""}",70100,"VARSELLONA, Maria Rosaria; FERNANDEZ, Fernando; HENNAH, Adrian",SH03 on 2025-05-02; SH03 on 2025-05-01; SH03 on 2025-04-28; AA on 2025-04-15; SH03 on 2025-04-07,,
00612172,OXFAM,active,1958-10-01,private-limited-guarant-nsc,,england-wales,2024-03-31,2025-12-31,2024-11-02,False,"{""address_line_1"": ""Oxfam House"", ""address_line_2"": ""John Smith Drive"", ""locality"": ""Oxford"", ""postal_code"": ""OX4 2JY""}",36000,"SAUNDERS, Jonathan Stirling; AFADZINU, Nana Asantewa; AKWII-WANGUSA, Hellen Grace",AP01 on 2025-01-20; AP01 on 2025-01-20; AA on 2024-12-20; RESOLUTIONS on 2024-12-18; MA on 2024-12-18,,
01915767,CINEWORLD CINEMAS LIMITED,active,1985-05-22,ltd,,england-wales,2022-12-31,2024-09-28,2024-06-02,False,"{""address_line_1"": ""8th Floor Vantage London"", ""address_line_2"": ""Great West Road"", ""country"": ""England"", ""locality"": ""Brentford"", ""postal_code"": ""TW8 9AG"", ""region"": ""England""}",59131,"HENRICH, John Martin; JONES, Shaun Alan; KAUFMAN, Roei",AA on 2025-01-04; MR01 on 2024-12-13; MR01 on 2024-12-13; MR01 on 2024-12-11; MR04 on 2024-12-03,019157670039; 019157670038; 019157670037,Cineworld Cinemas Holdings Limited
04031152,NATIONAL GRID PLC,active,2000-07-11,plc,,england-wales,2024-03-31,2025-09-30,2025-04-06,False,"{""address_line_1"": ""1-3 Strand"", ""locality"": ""London"", ""postal_code"": ""WC2N 5EH""}",70100,"BADDELEY, Julian; AGG, Andrew Jonathan; FERGUSON, Jacqueline Patricia Christine",SH04 on 2025-05-07; CS01 on 2025-04-16; SH04 on 2025-03-12; SH01 on 2025-01-15; SH04 on 2025-01-13,,
00002065,LLOYDS BANK PLC,active,1865-04-20,plc,,england-wales,2024-12-31,2026-06-30,2025-05-06,False,"{""address_line_1"": ""25 Gresham Street"", ""locality"": ""London"", ""postal_code"": ""EC2V 7HN""}",64191,"CHEETHAM, Catharine Lucy; BENTLEY, Sarah Elise; BOSTOCK, Nathan Mark",CS01 on 2025-05-06; AA on 2025-04-01; MR01 on 2025-03-18; MR01 on 2025-03-17; MR01 on 2025-03-17,000020650088; 000020650087; 000020650086,Lloyds Banking Group Plc
02906991,SKY UK LIMITED,active,1994-03-10,ltd,,england-wales,2023-12-31,2025-09-30,2024-09-10,False,"{""address_line_1"": ""Grant Way"", ""address_line_2"": ""Isleworth"", ""locality"": ""Middlesex"", ""postal_code"": ""TW7 5QD""}","59113,61900,82990","SKY CORPORATE SECRETARY LIMITED; MCNEIL, Roderick Gregor; ROBSON, Simon",TM01 on 2024-12-16; AP01 on 2024-12-16; SH01 on 2024-10-25; SH01 on 2024-10-21; AA on 2024-10-11,029069910006,Sky Limited
01107406,ICELAND FOODS LIMITED,active,1973-04-10,ltd,,england-wales,2024-03-29,2025-12-31,2024-05-24,False,"{""address_line_1"": ""Second Avenue"", ""address_line_2"": ""Deeside Industrial Park"", ""locality"": ""Deeside"", ""postal_code"": ""CH5 2NW"", ""region"": ""Flintshire""}",47110,"VAUGHAN, Duncan Andrew; DHALIWAL, Paul Singh; DHALIWAL, Tarsem Singh",MR04 on 2025-01-03; MR04 on 2025-01-02; MR01 on 2024-12-12; AA on 2024-08-05; CS01 on 2024-05-24,011074060040; 011074060039; 011074060038,Wd Ff Midco Limited
03279730,SAINSBURY'S BANK PLC,active,1996-11-12,plc,,england-wales,2024-02-29,2025-08-31,2024-08-30,False,"{""address_line_1"": ""33 Charterhouse Street"", ""country"": ""England"", ""locality"": ""London"", ""postal_code"": ""EC1M 6HA""}",64191,"CLARKE, David; BUTLER, Carole Vera; JONES, Margaret Lesley",CH01 on 2025-05-01; CH01 on 2025-05-01; AD01 on 2025-05-01; AP01 on 2024-11-25; CH01 on 2024-10-01,032797300001,J Sainsbury Plc
