Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,19.51,5.88,10.44,108.81,-,
PEG,-0.49,0.02,-0.23,-1.16,-,
Earnings per Share Growth,-40.02%,311.18%,-46.32%,-93.82%,-,
Dividend Cover,1.69,2.40,1.88,0.24,-2.40,
Revenue Per Share,"2,487.29¢","3,361.97¢","2,890.37¢","2,524.88¢","2,245.50¢",
Pre-Tax Profit per Share,431.51¢,"1,375.00¢",727.49¢,264.99¢,-76.03¢,
Operating Margin,18.22%,42.34%,26.32%,12.74%,-0.84%,
Return on Capital Employed,15.11%,44.76%,22.92%,9.43%,-0.56%,
Dividend Yield,3.03%,7.10%,5.10%,3.84%,3.57%,
Dividend per Share Growth,-34.90%,385.33%,-13.77%,-57.76%,-37.88%,
Net Asset Value per Share (exc. Intangibles),"1,834.18¢","2,037.64¢","2,022.57¢","1,944.85¢","1,481.78¢",
Net Gearing,21.09%,10.48%,18.61%,43.20%,48.38%,
