Ratios - based on IFRS,"12.09.20
(£m)","18.09.21
(£m)","17.09.22
(£m)","16.09.23
(£m)","14.09.24
(£m)",
PE Ratio,33.65,31.24,14.95,15.51,11.30,
PEG,-0.70,10.23,0.30,0.30,0.25,
Earnings per Share Growth,-48.15%,3.05%,49.26%,51.47%,44.34%,
Dividend Cover,-,1.49,2.03,1.17,1.11,
Revenue Per Share,"1,769.02p","1,729.05p","2,160.16p","2,545.53p","2,680.18p",
Pre-Tax Profit per Share,79.84p,80.45p,122.90p,156.73p,240.34p,
Operating Margin,5.27%,5.22%,6.25%,6.23%,8.96%,
Return on Capital Employed,7.42%,7.08%,9.50%,10.40%,15.21%,
Dividend Yield,-,2.14%,3.30%,5.50%,7.99%,
Dividend per Share Growth,-24.56%,-84.50%,789.81%,-12.20%,59.47%,
Net Asset Value per Share (exc. Intangibles),975.91p,"1,053.46p","1,210.09p","1,200.98p","1,248.15p",
Net Gearing,-16.29%,-18.84%,-12.96%,-8.07%,-3.96%,
