Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,17.02,16.05,17.19,24.14,12.21,
PEG,0.82,0.18,-0.27,-2.29,0.13,
Earnings per Share Growth,20.71%,87.42%,-62.95%,-10.54%,94.25%,
Dividend Cover,1.09,0.80,0.56,1.08,1.13,
Revenue Per Share,443.42p,521.04p,496.79p,218.33p,"1,543.84p",
Pre-Tax Profit per Share,206.61p,239.85p,156.23p,145.66p,273.23p,
Operating Margin,47.54%,46.80%,32.24%,69.75%,18.26%,
Return on Capital Employed,61.20%,57.60%,40.75%,47.57%,73.11%,
Dividend Yield,5.39%,7.82%,10.44%,3.84%,7.26%,
Dividend per Share Growth,16.25%,77.08%,-11.42%,-55.07%,23.12%,
Net Asset Value per Share (exc. Intangibles),318.85p,409.37p,233.10p,244.50p,342.50p,
Net Gearing,-,-,-,-,-,
