Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,46.68,19.19,-,15.80,7.86,
PEG,-0.81,0.13,-,-,-0.32,
Earnings per Share Growth,-57.63%,143.95%,-,-,-24.32%,
Dividend Cover,4.91,-,-,8.28,5.93,
Revenue Per Share,80.58p,182.89p,-69.72p,222.07p,173.31p,
Pre-Tax Profit per Share,-,-,-,-,-,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,0.44%,-,-,0.76%,2.15%,
Dividend per Share Growth,2.73%,-,-,-,5.66%,
Net Asset Value per Share (exc. Intangibles),933.87p,"1,090.23p",989.48p,"1,175.04p","1,304.86p",
Net Gearing,-,-,-,-,-,
