Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,38.72,13.80,11.93,25.18,23.63,
PEG,75.84,0.09,0.63,-0.55,-24.12,
Earnings per Share Growth,0.51%,155.86%,18.79%,-45.53%,-0.98%,
Dividend Cover,0.93,0.92,2.60,2.35,2.31,
Revenue Per Share,518.87¢,757.73¢,594.61¢,641.52¢,668.99¢,
Pre-Tax Profit per Share,142.43¢,346.64¢,254.68¢,200.74¢,201.80¢,
Operating Margin,31.04%,45.53%,27.88%,28.19%,30.37%,
Return on Capital Employed,14.67%,29.54%,13.95%,14.30%,14.09%,
Dividend Yield,2.79%,7.89%,3.22%,1.69%,1.83%,
Dividend per Share Growth,59.97%,161.23%,-58.11%,-39.70%,0.83%,
Net Asset Value per Share (exc. Intangibles),770.95¢,847.00¢,875.13¢,908.03¢,959.79¢,
Net Gearing,32.36%,29.09%,28.59%,38.37%,39.70%,
