Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,19.79,41.87,24.71,24.64,24.87,
PEG,3.68,-1.04,0.26,-10.52,2.03,
Earnings per Share Growth,5.38%,-40.17%,93.43%,-2.34%,12.25%,
Dividend Cover,9.25,2.65,3.12,2.98,2.93,
Revenue Per Share,39.79p,27.23p,45.28p,53.49p,62.39p,
Pre-Tax Profit per Share,26.78p,16.06p,31.20p,31.13p,37.42p,
Operating Margin,69.31%,60.43%,69.49%,55.00%,60.59%,
Return on Capital Employed,60.74%,33.68%,62.37%,51.72%,58.81%,
Dividend Yield,0.55%,0.90%,1.30%,1.36%,1.37%,
Dividend per Share Growth,12.66%,256.02%,-69.40%,4.59%,7.91%,
Net Asset Value per Share (exc. Intangibles),-21.82p,10.40p,12.40p,2.86p,7.16p,
Net Gearing,194.21%,-3.40%,-10.22%,8.44%,2.50%,
