Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,5.14,53.30,-,11.53,19.86,
PEG,0.53,-1.17,-,-,-0.53,
Earnings per Share Growth,9.73%,-45.61%,-,-,-37.57%,
Dividend Cover,2.29,0.35,-1.23,1.13,0.12,
Revenue Per Share,"1,556.88p",853.28p,-679.59p,746.87p,"1,540.88p",
Pre-Tax Profit per Share,87.36p,20.60p,-76.10p,61.59p,39.82p,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,8.50%,5.37%,7.00%,7.68%,40.63%,
Dividend per Share Growth,-32.23%,-19.98%,40.59%,7.74%,468.68%,
Net Asset Value per Share (exc. Intangibles),506.68p,407.89p,294.98p,221.24p,165.06p,
Net Gearing,-,-,-,-,-,
