Ratios - based on IFRS What's this?,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,40.82,"1,464.41",63.50,35.06,28.82,
PEG,0.30,-15.14,0.02,0.43,1.61,
Earnings per Share Growth,136.25%,-96.71%,"2,550.00%",81.13%,17.91%,
Dividend Cover,0.87,0.03,0.73,1.32,1.15,
Revenue Per Share,"2,023.19¢","2,638.72¢","2,865.05¢","2,957.46¢","3,479.05¢",
Pre-Tax Profit per Share,299.71¢,-14.17¢,161.89¢,446.16¢,560.98¢,
Operating Margin,14.87%,-0.78%,8.09%,17.88%,18.50%,
Return on Capital Employed,11.96%,-0.56%,5.34%,12.42%,14.61%,
Dividend Yield,2.81%,2.34%,2.15%,2.15%,3.01%,
Dividend per Share Growth,-0.27%,0.27%,3.65%,-,2.18%,
Net Asset Value per Share (exc. Intangibles),"-1,308.02¢","-1,491.93¢","-1,425.35¢","-1,225.29¢","-1,123.22¢",
Net Gearing,75.96%,59.76%,59.71%,55.32%,58.09%,
