Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,12.01,9.96,16.75,18.12,17.70,
PEG,-0.96,0.28,-2.26,0.91,3.17,
Earnings per Share Growth,-12.52%,36.00%,-7.43%,19.96%,5.58%,
Dividend Cover,1.72,2.20,1.89,2.04,0.34,
Revenue Per Share,602.45p,612.52p,683.10p,761.40p,870.90p,
Pre-Tax Profit per Share,47.72p,61.85p,58.13p,69.88p,70.14p,
Operating Margin,9.18%,9.53%,9.72%,10.07%,9.40%,
Return on Capital Employed,18.71%,16.49%,14.27%,14.46%,13.74%,
Dividend Yield,4.85%,4.57%,3.15%,2.70%,16.52%,
Dividend per Share Growth,3.76%,4.51%,5.01%,11.84%,8.36%,
Net Asset Value per Share (exc. Intangibles),-220.67p,-135.43p,-46.54p,-50.90p,-154.28p,
Net Gearing,57.20%,28.83%,19.04%,9.89%,44.91%,
