Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,-,-,9.98,-,15.81,
PEG,-,-,-,-,-,
Earnings per Share Growth,-,-,-,-,-,
Dividend Cover,-5.36,-,-,-,6.58,
Revenue Per Share,878.19p,828.27p,812.09p,878.25p,869.62p,
Pre-Tax Profit per Share,-46.74p,-337.47p,32.11p,1.23p,42.93p,
Operating Margin,-5.38%,-38.09%,1.32%,2.77%,5.58%,
Return on Capital Employed,-5.16%,-46.09%,2.44%,6.66%,20.43%,
Dividend Yield,1.88%,-,-,-,0.96%,
Dividend per Share Growth,-76.07%,-,-,-,-,
Net Asset Value per Share (exc. Intangibles),-3.26p,-184.12p,-54.61p,-112.40p,-106.80p,
Net Gearing,43.35%,350.79%,98.18%,109.13%,62.10%,
