Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,16.67,4.99,5.15,5.55,7.45,
PEG,-0.43,0.02,-0.29,-0.55,0.25,
Earnings per Share Growth,-38.63%,327.30%,-17.87%,-10.06%,29.61%,
Dividend Cover,8.80,6.25,4.25,0.69,0.70,
Revenue Per Share,159.27p,162.34p,223.62p,332.32p,377.25p,
Pre-Tax Profit per Share,17.63p,48.01p,42.89p,42.51p,15.13p,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,0.68%,3.21%,4.57%,26.12%,19.31%,
Dividend per Share Growth,-96.34%,"1,065.90%",102.42%,28.45%,6.19%,
Net Asset Value per Share (exc. Intangibles),333.25p,365.09p,378.37p,418.42p,440.68p,
Net Gearing,-,-,-,-,-,
