Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,9.67,9.21,11.19,-,21.07,
PEG,0.82,1.46,-9.23,-,-,
Earnings per Share Growth,11.83%,6.33%,-1.21%,-,-,
Dividend Cover,1.30,1.36,1.27,-2.80,0.26,
Revenue Per Share,"1,124.48p","1,123.04p","1,225.84p","1,224.00p","1,165.15p",
Pre-Tax Profit per Share,358.47p,382.51p,393.71p,-791.66p,73.78p,
Operating Margin,38.65%,39.85%,38.05%,-57.73%,10.58%,
Return on Capital Employed,9.20%,9.59%,9.34%,-14.94%,3.05%,
Dividend Yield,7.96%,7.97%,7.04%,10.06%,18.53%,
Dividend per Share Growth,5.54%,1.79%,1.36%,5.07%,-0.35%,
Net Asset Value per Share (exc. Intangibles),"-2,301.82p","-2,120.42p","-2,408.44p","-1,927.68p","-2,020.00p",
Net Gearing,65.15%,54.92%,52.67%,66.72%,63.76%,
