Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,-,12.37,31.00,4.29,5.83,
PEG,-,-,-0.64,0.01,0.45,
Earnings per Share Growth,-,-,-48.33%,488.21%,12.88%,
Dividend Cover,-,3.95,1.95,-,-,
Revenue Per Share,505.99¢,552.19¢,566.72¢,249.52¢,279.70¢,
Pre-Tax Profit per Share,-8.76¢,60.92¢,31.22¢,188.97¢,219.92¢,
Operating Margin,-0.35%,12.20%,6.65%,78.19%,72.77%,
Return on Capital Employed,-0.59%,20.71%,9.80%,40.12%,30.96%,
Dividend Yield,-,2.05%,1.66%,-,-,
Dividend per Share Growth,-,-,4.65%,-,-,
Net Asset Value per Share (exc. Intangibles),278.17¢,331.18¢,367.35¢,552.68¢,689.95¢,
Net Gearing,-,-,-,-,-,
