Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,18.97,21.74,19.47,20.31,22.03,
PEG,0.84,6.57,2.87,1.87,-4.38,
Earnings per Share Growth,22.57%,3.31%,6.78%,10.87%,-5.03%,
Dividend Cover,2.38,2.33,2.26,2.30,0.93,
Revenue Per Share,"3,020.81p","3,081.22p","3,597.10p","3,521.52p","3,512.03p",
Pre-Tax Profit per Share,166.02p,170.37p,189.60p,208.54p,200.89p,
Operating Margin,6.10%,6.03%,5.80%,6.65%,6.79%,
Return on Capital Employed,14.97%,14.71%,14.57%,14.50%,13.23%,
Dividend Yield,2.21%,1.98%,2.27%,2.14%,4.86%,
Dividend per Share Growth,9.00%,-2.08%,5.25%,15.34%,36.92%,
Net Asset Value per Share (exc. Intangibles),-155.13p,-166.84p,-110.46p,-81.59p,-270.67p,
Net Gearing,65.94%,59.91%,38.84%,38.68%,82.16%,
