Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,-,11.88,-,6.74,206.41,
PEG,-,-,-,-,-2.12,
Earnings per Share Growth,-,-,-,-,-97.30%,
Dividend Cover,-3.19,1.75,-0.57,0.53,0.01,
Revenue Per Share,890.80¢,806.40¢,"1,290.42¢","1,217.70¢","1,184.56¢",
Pre-Tax Profit per Share,-122.74¢,75.65¢,81.13¢,136.80¢,41.28¢,
Operating Margin,-13.25%,10.13%,10.76%,12.24%,5.89%,
Return on Capital Employed,-15.40%,11.72%,20.99%,21.85%,9.04%,
Dividend Yield,9.09%,4.80%,4.02%,28.13%,45.69%,
Dividend per Share Growth,-23.57%,-32.16%,7.17%,21.36%,9.84%,
Net Asset Value per Share (exc. Intangibles),259.87¢,288.27¢,252.45¢,284.24¢,219.00¢,
Net Gearing,58.32%,40.41%,26.27%,26.93%,54.59%,
