Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,6.74,10.46,14.12,7.52,12.60,
PEG,-0.34,-0.69,-1.10,0.15,-0.23,
Earnings per Share Growth,-19.94%,-15.20%,-12.84%,50.39%,-55.28%,
Dividend Cover,3.79,-,1.68,2.52,1.09,
Revenue Per Share,231.08p,215.36p,211.33p,210.97p,211.14p,
Pre-Tax Profit per Share,24.07p,18.13p,19.90p,18.24p,12.25p,
Operating Margin,14.33%,12.13%,13.84%,12.66%,10.65%,
Return on Capital Employed,10.71%,8.28%,9.64%,8.12%,6.89%,
Dividend Yield,3.92%,-,4.23%,5.28%,7.30%,
Dividend per Share Growth,-70.08%,-,-,-,3.61%,
Net Asset Value per Share (exc. Intangibles),8.85p,-16.94p,15.12p,8.33p,-4.04p,
Net Gearing,120.47%,134.30%,100.73%,124.91%,144.69%,
