Ratios - based on IFRS,"30.06.20
(£m)","30.06.21
(£m)","30.06.22
(£m)","30.06.23
(£m)","30.06.24
(£m)",
PE Ratio,10.93,9.43,9.68,8.29,56.53,
PEG,-0.24,0.14,-0.44,1.61,-0.73,
Earnings per Share Growth,-46.32%,65.17%,-22.03%,5.14%,-77.88%,
Dividend Cover,-,2.21,1.37,1.58,0.73,
Revenue Per Share,336.31p,473.41p,517.12p,534.12p,429.07p,
Pre-Tax Profit per Share,45.59p,77.18p,60.76p,69.89p,17.31p,
Operating Margin,14.43%,16.86%,12.27%,13.29%,4.19%,
Return on Capital Employed,9.63%,15.00%,11.24%,12.15%,3.04%,
Dividend Yield,-,4.81%,7.53%,7.64%,2.43%,
Dividend per Share Growth,-,-,25.51%,-8.67%,-52.06%,
Net Asset Value per Share (exc. Intangibles),387.92p,446.90p,449.47p,469.08p,451.64p,
Net Gearing,-6.24%,-24.09%,-20.17%,-19.04%,-15.66%,
