Ratios - based on IFRS,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
PE Ratio,36.24,22.79,15.76,16.35,24.75,
PEG,-0.68,0.23,0.29,1.59,-1.58,
Earnings per Share Growth,-53.55%,97.79%,53.49%,10.30%,-15.62%,
Dividend Cover,-,1.54,1.96,1.85,1.45,
Revenue Per Share,"2,324.62c","3,018.20c","3,789.93c","3,987.36c","4,430.90c",
Pre-Tax Profit per Share,152.33c,303.07c,428.23c,479.96c,419.72c,
Operating Margin,7.67%,11.02%,12.04%,12.78%,10.43%,
Return on Capital Employed,6.42%,9.30%,10.69%,12.08%,10.85%,
Dividend Yield,-,2.86%,3.23%,3.31%,2.79%,
Dividend per Share Growth,-,-,20.00%,17.26%,7.83%,
Net Asset Value per Share (exc. Intangibles),"-1,079.08c","-2,242.05c","-2,112.86c","-1,945.34c","-1,941.00c",
Net Gearing,89.54%,159.59%,141.26%,125.09%,115.07%,
