Ratios - based on IFRS,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
PE Ratio,23.14,20.27,19.73,15.32,14.69,
PEG,-1.53,0.63,-0.80,0.29,0.49,
Earnings per Share Growth,-15.16%,31.94%,-24.67%,53.10%,29.70%,
Dividend Cover,1.78,2.11,1.45,1.86,1.11,
Revenue Per Share,"1,679.96c","1,963.95c","2,510.48c","2,768.90c","2,944.01c",
Pre-Tax Profit per Share,156.85c,191.92c,170.20c,247.50c,305.07c,
Operating Margin,10.43%,10.67%,7.20%,9.27%,10.90%,
Return on Capital Employed,11.14%,13.46%,10.60%,14.45%,17.06%,
Dividend Yield,2.43%,2.34%,3.50%,3.51%,6.13%,
Dividend per Share Growth,-75.62%,-1.44%,10.41%,12.55%,16.72%,
Net Asset Value per Share (exc. Intangibles),176.93c,292.76c,201.75c,142.87c,193.01c,
Net Gearing,60.07%,65.67%,77.63%,69.97%,75.88%,
