Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,-,7.15,-,1.99,5.20,
PEG,-,0.00,-,-,-0.08,
Earnings per Share Growth,-,"2,865.24%",-,-,-63.70%,
Dividend Cover,-,-,-0.04,3.61,0.99,
Revenue Per Share,209.71p,252.64p,404.52p,475.09p,382.85p,
Pre-Tax Profit per Share,-10.24p,14.91p,-8.11p,112.50p,27.36p,
Operating Margin,-3.13%,7.17%,-1.40%,23.83%,7.27%,
Return on Capital Employed,-5.93%,15.85%,-5.53%,96.88%,18.14%,
Dividend Yield,-,-,310.82%,13.91%,19.33%,
Dividend per Share Growth,-,-,-,-93.48%,31.71%,
Net Asset Value per Share (exc. Intangibles),-17.00p,20.59p,-1.68p,57.81p,71.22p,
Net Gearing,371.58%,-17.63%,-81.12%,-60.36%,-63.91%,
