Ratios - based on IFRS What's this?,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
($m)",
PE Ratio,146.13,76.20,28.83,26.53,38.98,
PEG,-1.65,0.51,0.14,1.30,4.40,
Earnings per Share Growth,-88.60%,150.68%,213.00%,20.45%,8.85%,
Dividend Cover,0.32,1.43,1.99,1.75,0.88,
Revenue Per Share,"1,199.37p","1,003.81p","1,434.06p","1,780.15p","2,456.73¢",
Pre-Tax Profit per Share,12.39p,24.27p,80.05p,97.02p,117.68¢,
Operating Margin,1.45%,2.87%,5.70%,5.91%,6.05%,
Return on Capital Employed,3.67%,6.01%,15.85%,20.01%,23.85%,
Dividend Yield,2.14%,0.92%,1.75%,2.16%,2.93%,
Dividend per Share Growth,-29.98%,-43.92%,44.20%,68.37%,175.47%,
Net Asset Value per Share (exc. Intangibles),-87.21p,-71.47p,-68.46p,-110.66p,-200.01¢,
Net Gearing,47.91%,36.70%,33.72%,49.20%,77.43%,
