Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,42.53,44.00,14.18,41.22,29.82,
PEG,-4.05,0.90,0.14,-0.56,-3.92,
Earnings per Share Growth,-10.49%,48.70%,102.52%,-73.70%,-7.60%,
Dividend Cover,3.01,2.30,4.31,1.12,1.03,
Revenue Per Share,"1,066.54p","1,354.55p","1,498.78p","1,213.83p","1,163.07p",
Pre-Tax Profit per Share,206.74p,294.98p,559.54p,169.27p,148.45p,
Operating Margin,20.86%,23.19%,21.28%,14.61%,13.97%,
Return on Capital Employed,14.99%,17.49%,16.06%,8.37%,7.61%,
Dividend Yield,0.78%,0.99%,1.64%,2.16%,3.25%,
Dividend per Share Growth,-44.83%,8.02%,8.76%,1.79%,2.15%,
Net Asset Value per Share (exc. Intangibles),195.67p,344.33p,832.45p,676.05p,696.03p,
Net Gearing,45.33%,41.79%,8.36%,19.24%,23.32%,
