Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,47.53,44.20,90.04,48.46,29.73,
PEG,-,11.65,-1.90,0.46,0.66,
Earnings per Share Growth,-,3.79%,-47.46%,106.45%,44.92%,
Dividend Cover,1.00,1.30,0.51,1.21,1.84,
Revenue Per Share,94.85¢,101.46¢,102.40¢,105.09¢,111.49¢,
Pre-Tax Profit per Share,8.75¢,7.53¢,4.05¢,8.21¢,11.98¢,
Operating Margin,11.14%,9.99%,10.00%,12.26%,14.19%,
Return on Capital Employed,6.82%,6.60%,7.07%,9.12%,11.22%,
Dividend Yield,2.10%,1.74%,2.17%,1.70%,1.83%,
Dividend per Share Growth,-6.09%,-1.57%,-2.45%,11.83%,2.33%,
Net Asset Value per Share (exc. Intangibles),-20.92¢,-18.06¢,-26.55¢,-26.46¢,-19.87¢,
Net Gearing,53.33%,51.99%,-,67.94%,63.95%,
