Ratios - based on IFRS,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,20.43,21.18,18.71,13.94,17.44,
PEG,-1.84,1.10,2.82,2.04,-6.51,
Earnings per Share Growth,-11.13%,19.31%,6.65%,6.82%,-2.68%,
Dividend Cover,1.72,1.86,1.80,1.81,1.68,
Revenue Per Share,"14,962.71p","13,615.32p","17,981.97p","22,495.72p","20,046.26p",
Pre-Tax Profit per Share,314.83p,370.37p,411.14p,437.92p,427.14p,
Operating Margin,2.48%,3.15%,2.42%,2.15%,2.67%,
Return on Capital Employed,8.37%,9.40%,9.21%,9.44%,10.28%,
Dividend Yield,2.85%,2.54%,2.97%,3.97%,3.41%,
Dividend per Share Growth,4.71%,10.30%,10.00%,6.50%,4.71%,
Net Asset Value per Share (exc. Intangibles),365.65p,447.11p,274.45p,20.72p,-46.08p,
Net Gearing,11.73%,-0.52%,20.89%,27.97%,26.98%,
