Ratios - based on IFRS,"30.06.20
(£m)","30.06.21
(£m)","30.06.22
(£m)","30.06.23
(£m)","30.06.24
($m)",
PE Ratio,44.62,30.41,25.18,20.49,18.11,
PEG,-0.82,0.34,1.09,1.16,3.82,
Earnings per Share Growth,-54.14%,89.87%,23.20%,17.62%,4.75%,
Dividend Cover,0.86,1.62,1.84,2.06,0.37,
Revenue Per Share,499.57p,544.84p,666.61p,755.87p,904.82¢,
Pre-Tax Profit per Share,74.86p,144.29p,171.27p,192.84p,225.26¢,
Operating Margin,18.18%,29.30%,28.53%,27.07%,29.61%,
Return on Capital Employed,9.58%,16.52%,19.41%,19.24%,21.43%,
Dividend Yield,2.61%,2.04%,2.16%,2.37%,14.80%,
Dividend per Share Growth,4.37%,-0.37%,5.50%,5.06%,30.88%,
Net Asset Value per Share (exc. Intangibles),-176.74p,-151.12p,-164.31p,-150.01p,-215.41¢,
Net Gearing,198.79%,173.67%,176.13%,192.57%,203.06%,
