Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,8.39,5.36,-,9.31,5.51,
PEG,-0.34,0.06,-,-,0.06,
Earnings per Share Growth,-24.97%,84.65%,-,-,94.17%,
Dividend Cover,7.75,13.49,-6.98,7.03,12.89,
Revenue Per Share,100.47p,180.68p,-84.85p,113.06p,210.97p,
Pre-Tax Profit per Share,-,-,-,-,-,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,1.54%,1.38%,1.49%,1.53%,1.41%,
Dividend per Share Growth,4.03%,6.07%,5.47%,-,5.83%,
Net Asset Value per Share (exc. Intangibles),840.69p,"1,002.49p",896.94p,987.56p,"1,176.82p",
Net Gearing,-,-,-,-,-,
