Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,30.26,21.07,29.33,23.81,40.67,
PEG,0.37,1.62,-0.83,-1.69,-1.02,
Earnings per Share Growth,82.78%,12.97%,-35.49%,-14.09%,-39.91%,
Dividend Cover,1.97,1.69,2.21,5.66,0.34,
Revenue Per Share,328.87¢,366.82¢,330.17¢,367.09¢,473.18¢,
Pre-Tax Profit per Share,74.60¢,82.99¢,33.73¢,15.47¢,100.68¢,
Operating Margin,26.74%,24.67%,11.66%,5.27%,27.05%,
Return on Capital Employed,15.10%,14.17%,5.83%,2.95%,20.05%,
Dividend Yield,1.68%,2.81%,1.54%,0.74%,7.23%,
Dividend per Share Growth,77.44%,31.76%,-50.74%,-66.47%,899.62%,
Net Asset Value per Share (exc. Intangibles),472.12¢,491.00¢,500.17¢,511.86¢,523.19¢,
Net Gearing,-,-,7.99%,10.60%,-6.86%,
