Ratios - based on IFRS What's this?,"31.05.20
(£m)","30.05.21
(£m)","29.05.22
(£m)","28.05.23
(£m)","02.06.24
(£m)",
PE Ratio,36.40,32.04,18.27,23.03,21.76,
PEG,4.67,0.46,3.66,4.90,2.20,
Earnings per Share Growth,7.79%,70.42%,4.99%,4.70%,9.87%,
Dividend Cover,1.51,1.59,1.67,1.58,1.41,
Revenue Per Share,829.52p,"1,082.00p","1,267.61p","1,435.76p","1,570.36p",
Pre-Tax Profit per Share,274.97p,462.27p,478.26p,520.27p,606.40p,
Operating Margin,27.14%,38.34%,37.87%,36.15%,38.39%,
Return on Capital Employed,61.12%,82.29%,73.10%,71.16%,78.41%,
Dividend Yield,1.82%,1.97%,3.29%,2.76%,3.25%,
Dividend per Share Growth,-6.45%,62.07%,-,10.64%,22.64%,
Net Asset Value per Share (exc. Intangibles),351.03p,522.33p,632.46p,645.62p,689.49p,
Net Gearing,-,-,-,-34.16%,-38.82%,
