Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,-,13.32,4.98,17.63,-,
PEG,-,-,0.02,-0.24,-,
Earnings per Share Growth,-,-,250.00%,-74.44%,-,
Dividend Cover,-1.17,1.46,3.02,0.65,-1.30,
Revenue Per Share,"1,074.00¢","1,543.09¢","1,962.72¢","1,753.04¢","1,895.26¢",
Pre-Tax Profit per Share,-41.95¢,36.03¢,157.79¢,32.83¢,-19.82¢,
Operating Margin,-2.88%,3.18%,8.04%,2.35%,0.11%,
Return on Capital Employed,-5.37%,8.72%,27.31%,6.69%,0.32%,
Dividend Yield,3.79%,5.14%,6.64%,8.67%,2.26%,
Dividend per Share Growth,-77.84%,272.68%,141.88%,35.34%,-76.02%,
Net Asset Value per Share (exc. Intangibles),235.76¢,257.29¢,338.82¢,308.69¢,284.75¢,
Net Gearing,95.60%,75.90%,52.46%,69.56%,87.83%,
