Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,18.75,16.43,22.20,26.42,15.38,
PEG,-2.01,150.44,-0.41,10.56,0.18,
Earnings per Share Growth,-9.31%,0.11%,-53.98%,2.50%,87.86%,
Dividend Cover,3.65,3.38,1.50,1.51,2.64,
Revenue Per Share,989.24¢,"1,105.19¢","1,123.66¢","1,301.72¢","1,408.94¢",
Pre-Tax Profit per Share,235.79¢,235.06¢,104.02¢,127.23¢,205.01¢,
Operating Margin,24.73%,22.80%,10.93%,12.77%,19.57%,
Return on Capital Employed,20.19%,18.77%,8.38%,10.98%,17.68%,
Dividend Yield,1.46%,1.80%,3.01%,2.51%,2.47%,
Dividend per Share Growth,13.33%,8.30%,3.70%,1.83%,7.51%,
Net Asset Value per Share (exc. Intangibles),546.21¢,674.30¢,459.05¢,496.65¢,520.09¢,
Net Gearing,24.68%,13.74%,44.17%,42.36%,46.41%,
