Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,-,21.01,108.05,6.49,7.39,
PEG,-,-,-1.38,0.00,-0.65,
Earnings per Share Growth,-,-,-78.12%,"1,603.31%",-11.35%,
Dividend Cover,-,1.60,0.34,5.50,6.13,
Revenue Per Share,933.18¢,884.16¢,810.25¢,"1,155.38¢","1,276.82¢",
Pre-Tax Profit per Share,-69.84¢,70.53¢,26.97¢,195.69¢,215.17¢,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,-,2.97%,2.75%,2.80%,2.21%,
Dividend per Share Growth,-,-,72.92%,6.08%,5.81%,
Net Asset Value per Share (exc. Intangibles),601.18¢,648.28¢,607.88¢,857.36¢,994.18¢,
Net Gearing,-,-,-,-,-,
