Ratios - based on IFRS,"26.12.20
(£m)","25.12.21
(£m)","24.12.22
(£m)","30.12.23
(£m)","28.12.24
(£m)",
PE Ratio,27.90,16.86,8.64,17.50,17.32,
PEG,-0.97,0.15,0.36,-0.57,-349.09,
Earnings per Share Growth,-28.86%,113.65%,23.68%,-30.66%,-0.05%,
Dividend Cover,1.37,2.73,3.19,2.21,2.15,
Revenue Per Share,261.99p,355.12p,408.96p,414.80p,425.92p,
Pre-Tax Profit per Share,31.37p,66.20p,71.56p,58.80p,60.18p,
Operating Margin,12.65%,19.19%,17.90%,14.72%,14.61%,
Return on Capital Employed,29.38%,47.05%,42.52%,34.41%,24.40%,
Dividend Yield,2.62%,2.17%,3.62%,2.58%,2.68%,
Dividend per Share Growth,40.00%,7.14%,5.64%,0.02%,2.89%,
Net Asset Value per Share (exc. Intangibles),116.65p,163.66p,150.41p,170.39p,194.74p,
Net Gearing,-,-,-24.40%,-,29.89%,
