Ratios - based on IFRS,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
PE Ratio,-,-,16.09,3.31,6.56,
PEG,-,-,-,0.01,2.02,
Earnings per Share Growth,-,-,-,518.39%,3.25%,
Dividend Cover,-19.00,-,-,-,3.54,
Revenue Per Share,220.65c,170.33c,465.19c,597.06c,652.91c,
Pre-Tax Profit per Share,-220.79c,-70.69c,8.27c,61.95c,72.47c,
Operating Margin,-95.13%,-32.70%,5.45%,11.90%,13.30%,
Return on Capital Employed,-79.66%,-31.41%,10.86%,22.09%,19.86%,
Dividend Yield,5.82%,-,-,-,4.30%,
Dividend per Share Growth,-56.50%,-,-,-,-,
Net Asset Value per Share (exc. Intangibles),-38.22c,-48.35c,-31.08c,-12.96c,52.08c,
Net Gearing,-27.40%,232.98%,38.00%,282.55%,121.83%,
