Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,-,-,-,-,-,
PEG,-,-,-,-,-,
Earnings per Share Growth,-39.91%,320.78%,14.60%,-46.54%,68.07%,
Dividend Cover,0.75,2.86,2.42,1.27,2.07,
Revenue Per Share,144.82p,290.79p,342.48p,223.73p,330.98p,
Pre-Tax Profit per Share,39.88p,178.60p,197.34p,86.34p,185.15p,
Operating Margin,41.63%,68.27%,63.03%,48.70%,61.15%,
Return on Capital Employed,6.20%,24.66%,24.68%,9.02%,19.97%,
Dividend Yield,-,-,-,-,-,
Dividend per Share Growth,12.58%,10.54%,35.71%,1.97%,1.66%,
Net Asset Value per Share (exc. Intangibles),441.56p,549.21p,664.11p,689.92p,786.87p,
Net Gearing,-,-,-,-,-,
