Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,-,44.39,27.47,20.29,31.94,
PEG,-,-,0.65,0.18,-2.56,
Earnings per Share Growth,-,-,42.50%,114.19%,-12.45%,
Dividend Cover,-,1.69,1.50,4.27,1.37,
Revenue Per Share,"1,311.79¢","1,588.52¢","2,150.28¢","2,736.09¢","3,045.63¢",
Pre-Tax Profit per Share,-153.43¢,197.27¢,298.34¢,597.63¢,548.74¢,
Operating Margin,-6.39%,16.99%,16.14%,23.05%,20.94%,
Return on Capital Employed,-11.73%,30.18%,58.55%,105.18%,78.43%,
Dividend Yield,-,1.33%,2.43%,1.16%,2.28%,
Dividend per Share Growth,-,-,51.11%,10.02%,7.69%,
Net Asset Value per Share (exc. Intangibles),-,-,-,-,-,
Net Gearing,-112.65%,-94.19%,-87.93%,-96.10%,-115.92%,
