Ratios - based on IFRS What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,35.85,6.00,3.34,3.55,7.06,
PEG,-0.43,0.01,0.03,0.25,-0.43,
Earnings per Share Growth,-82.82%,772.97%,115.90%,14.35%,-16.46%,
Dividend Cover,0.59,5.50,8.93,8.96,6.52,
Revenue Per Share,23.80p,200.27p,422.22p,484.69p,325.75p,
Pre-Tax Profit per Share,-,-,-,-,-,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,4.73%,3.03%,3.35%,3.15%,2.17%,
Dividend per Share Growth,1.29%,-5.26%,15.01%,24.20%,12.57%,
Net Asset Value per Share (exc. Intangibles),796.24p,940.85p,"1,309.85p","1,730.07p","2,071.78p",
Net Gearing,-,-,-,-,-,
