Ratios - based on IFRS What's this?,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
(£m)",
PE Ratio,8.64,5.20,11.18,6.60,7.23,
PEG,0.18,0.06,-0.25,0.13,0.38,
Earnings per Share Growth,48.93%,89.97%,-44.68%,52.14%,18.81%,
Dividend Cover,1.15,2.16,1.18,1.72,0.88,
Revenue Per Share,"3,438.48p","3,469.95p","3,440.18p","3,520.33p","3,719.50p",
Pre-Tax Profit per Share,228.73p,342.65p,269.60p,337.24p,347.61p,
Operating Margin,8.39%,8.74%,8.33%,10.48%,10.97%,
Return on Capital Employed,15.52%,18.08%,16.93%,21.03%,23.86%,
Dividend Yield,10.07%,8.92%,7.61%,8.81%,15.78%,
Dividend per Share Growth,-5.29%,-25.64%,-1.81%,5.48%,-47.82%,
Net Asset Value per Share (exc. Intangibles),"-1,404.15p","-1,196.31p","-1,148.66p","-1,215.96p","-1,240.35p",
Net Gearing,205.83%,159.47%,118.91%,134.81%,141.58%,
