Ratios - based on IFRS,"31.12.19
(£m)","31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)",
PE Ratio,20.83,18.58,23.62,14.70,18.40,
PEG,-2.66,2.17,1.35,0.77,4.13,
Earnings per Share Growth,-7.84%,8.56%,17.55%,19.18%,4.45%,
Dividend Cover,1.38,2.79,3.10,3.41,3.23,
Revenue Per Share,691.65p,670.60p,699.14p,793.26p,846.90p,
Pre-Tax Profit per Share,69.79p,78.75p,91.64p,110.49p,116.62p,
Operating Margin,10.89%,12.43%,13.42%,14.55%,14.51%,
Return on Capital Employed,17.37%,19.00%,18.99%,18.95%,18.63%,
Dividend Yield,3.49%,1.93%,1.37%,2.00%,1.68%,
Dividend per Share Growth,1.23%,-45.41%,5.62%,8.44%,-71.36%,
Net Asset Value per Share (exc. Intangibles),33.61p,73.66p,4.22p,-37.82p,27.73p,
Net Gearing,48.94%,28.51%,67.89%,77.99%,52.26%,
