Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,-,99.35,65.22,25.95,35.80,
PEG,-,-,0.03,-0.35,-1.37,
Earnings per Share Growth,-,-,"2,053.85%",-73.13%,-26.12%,
Dividend Cover,-,-,1.40,0.60,0.33,
Revenue Per Share,116.66p,119.84p,155.37p,228.80p,265.27p,
Pre-Tax Profit per Share,-80.06p,9.13p,11.59p,34.99p,30.31p,
Operating Margin,-53.06%,5.05%,8.05%,15.79%,15.24%,
Return on Capital Employed,-11.17%,1.18%,2.16%,5.80%,6.00%,
Dividend Yield,-,-,1.10%,6.42%,8.58%,
Dividend per Share Growth,-,-,-,348.79%,48.43%,
Net Asset Value per Share (exc. Intangibles),-213.44p,-189.27p,-120.13p,-220.92p,-384.34p,
Net Gearing,-,-,-2.59%,-,42.52%,
