Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,36.77,31.51,22.51,23.03,22.05,
PEG,-1.73,1.89,80.45,7.94,1.38,
Earnings per Share Growth,-21.24%,16.66%,0.28%,2.90%,15.95%,
Dividend Cover,1.45,1.69,1.05,1.65,1.37,
Revenue Per Share,"1,698.27p","1,728.47p","1,980.71p","2,063.67p","2,100.51p",
Pre-Tax Profit per Share,213.02p,256.45p,260.42p,261.81p,303.33p,
Operating Margin,13.79%,15.55%,14.17%,14.61%,15.79%,
Return on Capital Employed,22.11%,23.54%,20.45%,21.25%,23.49%,
Dividend Yield,1.87%,1.88%,4.23%,2.63%,3.31%,
Dividend per Share Growth,7.23%,-3.57%,-1.34%,7.01%,16.68%,
Net Asset Value per Share (exc. Intangibles),-87.29p,-321.44p,-308.38p,-243.92p,-166.18p,
Net Gearing,43.07%,67.77%,57.47%,46.14%,40.65%,
