Ratios - based on IFRS,"01.02.20
(£m)","30.01.21
(£m)","29.01.22
(£m)","28.01.23
(£m)","03.02.24
(£m)",
PE Ratio,162.41,162.04,26.26,58.55,10.81,
PEG,-27.31,-18.22,0.47,-0.95,0.04,
Earnings per Share Growth,-5.95%,-8.89%,55.53%,-61.51%,271.48%,
Dividend Cover,14.88,15.90,20.49,4.12,11.61,
Revenue Per Share,125.92p,127.09p,166.47p,196.82p,201.07p,
Pre-Tax Profit per Share,7.18p,6.68p,12.73p,8.48p,15.33p,
Operating Margin,6.98%,6.24%,8.42%,4.99%,8.72%,
Return on Capital Employed,35.80%,29.00%,41.78%,23.62%,34.57%,
Dividend Yield,0.04%,0.04%,0.19%,0.41%,0.80%,
Dividend per Share Growth,-21.47%,8.61%,-20.29%,66.66%,98.82%,
Net Asset Value per Share (exc. Intangibles),16.55p,8.61p,8.77p,12.74p,19.81p,
Net Gearing,-35.26%,-64.21%,-61.57%,-69.32%,-24.73%,
