Ratios - based on IFRS What's this?,"31.01.21
(£m)","31.01.22
(£m)","31.01.23
(£m)","31.01.24
(£m)","31.01.25
(£m)",
PE Ratio,9.88,8.22,11.72,12.11,24.38,
PEG,0.00,0.19,-0.29,-0.51,-0.55,
Earnings per Share Growth,"6,905.81%",43.81%,-40.94%,-23.53%,-44.66%,
Dividend Cover,3.41,3.25,1.92,1.47,0.23,
Revenue Per Share,584.76p,630.16p,659.55p,683.88p,693.64p,
Pre-Tax Profit per Share,35.53p,47.90p,30.61p,25.08p,17.47p,
Operating Margin,7.37%,8.64%,5.50%,4.48%,3.30%,
Return on Capital Employed,14.39%,16.91%,10.58%,8.61%,5.47%,
Dividend Yield,2.97%,3.75%,4.44%,5.63%,17.79%,
Dividend per Share Growth,-56.90%,157.92%,4.87%,2.09%,-3.13%,
Net Asset Value per Share (exc. Intangibles),181.15p,194.77p,200.21p,204.69p,207.47p,
Net Gearing,-15.81%,-11.91%,-2.52%,-3.80%,31.27%,
