Ratios - based on IFRS,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,-,-,6.69,-,-,
PEG,-,-,-,-,-,
Earnings per Share Growth,-,-,-,-,-,
Dividend Cover,-4.84,-6.97,3.17,-2.17,-1.09,
Revenue Per Share,99.86p,85.81p,91.76p,106.89p,110.90p,
Pre-Tax Profit per Share,-92.45p,-162.30p,113.78p,-83.92p,-46.16p,
Operating Margin,-71.93%,-180.47%,116.79%,-53.60%,-25.85%,
Return on Capital Employed,-3.83%,-9.24%,6.84%,-3.68%,-2.05%,
Dividend Yield,4.17%,3.91%,4.71%,6.21%,6.02%,
Dividend per Share Growth,-49.21%,16.70%,37.04%,4.32%,2.31%,
Net Asset Value per Share (exc. Intangibles),"1,178.19p",971.58p,"1,067.92p",943.84p,859.06p,
Net Gearing,45.57%,-,55.89%,49.92%,57.83%,
