Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,12.04,8.70,6.51,34.16,79.52,
PEG,-0.93,0.32,0.54,-0.42,-1.31,
Earnings per Share Growth,-12.92%,26.98%,12.11%,-80.82%,-60.79%,
Dividend Cover,1.75,2.58,2.75,0.36,0.02,
Revenue Per Share,844.75p,766.57p,"-1,509.11p",671.97p,411.24p,
Pre-Tax Profit per Share,25.21p,44.39p,46.14p,461.72p,0.85p,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,4.75%,4.46%,5.58%,8.10%,67.46%,
Dividend per Share Growth,5.84%,3.74%,-4.14%,9.64%,9.46%,
Net Asset Value per Share (exc. Intangibles),161.83p,177.94p,197.14p,72.26p,52.06p,
Net Gearing,-,-,-,-,-,
