Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,30.37,6.37,6.22,6.28,7.73,
PEG,-0.46,0.01,-2.33,1.53,-0.45,
Earnings per Share Growth,-65.81%,526.71%,-2.67%,4.11%,-17.33%,
Dividend Cover,2.11,3.75,3.04,0.61,2.23,
Revenue Per Share,47.84p,59.94p,15.73p,77.20p,65.20p,
Pre-Tax Profit per Share,1.78p,9.83p,10.12p,13.26p,14.24p,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,1.56%,4.18%,5.29%,26.25%,5.79%,
Dividend per Share Growth,-95.58%,778.79%,59.04%,22.86%,17.85%,
Net Asset Value per Share (exc. Intangibles),52.82p,57.92p,51.15p,61.13p,61.91p,
Net Gearing,-,-,-,-,-,
