Ratios - based on IFRS,"31.03.19
(£m)","31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.24
(£m)",
PE Ratio,11.61,-,7.47,3.50,19.17,
PEG,-0.32,-,-,0.02,-,
Earnings per Share Growth,-36.06%,-,-,175.52%,-,
Dividend Cover,2.10,-0.08,3.31,8.52,1.04,
Revenue Per Share,12.48p,14.06p,13.59p,14.30p,15.90p,
Pre-Tax Profit per Share,18.10p,0.27p,27.94p,76.76p,10.72p,
Operating Margin,170.31%,31.22%,224.80%,548.72%,94.78%,
Return on Capital Employed,8.29%,1.71%,11.15%,23.77%,-,
Dividend Yield,4.11%,4.72%,4.05%,3.35%,5.02%,
Dividend per Share Growth,3.80%,0.94%,4.50%,6.94%,-,
Net Asset Value per Share (exc. Intangibles),173.83p,170.15p,190.33p,262.28p,193.54p,
Net Gearing,-,-,-,-,49.81%,
