Ratios - based on IFRS What's this?,"28.03.20
(£m)","03.04.21
(£m)","02.04.22
(£m)","01.04.23
(£m)","30.03.24
(£m)",
PE Ratio,76.29,-,10.06,9.03,12.11,
PEG,-2.00,-,-,0.51,0.66,
Earnings per Share Growth,-38.10%,-,-,17.83%,18.38%,
Dividend Cover,0.33,-,-,-,3.95,
Revenue Per Share,538.81p,461.10p,557.43p,609.32p,662.68p,
Pre-Tax Profit per Share,3.56p,-10.55p,20.06p,26.52p,38.24p,
Operating Margin,2.50%,-0.34%,5.26%,4.68%,6.09%,
Return on Capital Employed,5.11%,-0.62%,12.99%,10.11%,12.84%,
Dividend Yield,3.93%,-,-,-,2.09%,
Dividend per Share Growth,-1.29%,-,-,-,-,
Net Asset Value per Share (exc. Intangibles),169.40p,104.83p,138.91p,134.73p,129.96p,
Net Gearing,42.38%,53.96%,18.25%,91.09%,74.56%,
