Ratios - based on IFRS What's this?,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
PE Ratio,14.46,12.67,5.98,17.23,29.38,
PEG,-0.51,0.42,0.07,-,-,
Earnings per Share Growth,-28.60%,30.27%,91.98%,-,-,
Dividend Cover,2.00,2.40,3.49,1.65,0.82,
Revenue Per Share,"1,507.38c","1,751.61c","2,018.59c","1,511.03c","1,665.71c",
Pre-Tax Profit per Share,174.88c,222.95c,353.74c,140.59c,84.90c,
Operating Margin,13.03%,13.87%,16.21%,10.41%,6.15%,
Return on Capital Employed,14.30%,17.06%,20.18%,9.89%,6.25%,
Dividend Yield,3.46%,3.29%,4.79%,3.51%,4.13%,
Dividend per Share Growth,-27.91%,8.63%,7.69%,-18.68%,108.88%,
Net Asset Value per Share (exc. Intangibles),682.59c,793.00c,"1,125.16c",994.36c,910.71c,
Net Gearing,40.65%,34.93%,15.46%,7.55%,35.76%,
