Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,4.46,60.45,-,17.51,-,
PEG,1.63,-0.65,-,-,-,
Earnings per Share Growth,2.73%,-92.55%,-,-,-,
Dividend Cover,2.44,0.18,-3.37,0.64,-0.75,
Revenue Per Share,592.06p,699.13p,-345.39p,142.68p,467.27p,
Pre-Tax Profit per Share,64.59p,24.63p,-102.47p,30.89p,5.05p,
Operating Margin,13.01%,5.33%,-,26.42%,1.54%,
Return on Capital Employed,36.90%,17.42%,-55.39%,25.97%,4.69%,
Dividend Yield,9.21%,9.17%,10.43%,8.86%,10.16%,
Dividend per Share Growth,-,0.66%,7.10%,0.51%,1.75%,
Net Asset Value per Share (exc. Intangibles),161.27p,144.62p,38.79p,93.98p,65.19p,
Net Gearing,-,-,-,-,-,
