Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,-,-,-,"7,667.57",-,
PEG,-,-,-,-,-,
Earnings per Share Growth,-,-,-,-,-,
Dividend Cover,-14.46,-5.49,-2.32,0.01,-0.62,
Revenue Per Share,600.11p,439.81p,536.06p,248.33p,264.62p,
Pre-Tax Profit per Share,-38.80p,-41.92p,-25.32p,-0.59p,-8.09p,
Operating Margin,-4.22%,-7.10%,-3.78%,1.70%,-0.12%,
Return on Capital Employed,-3.47%,-5.14%,-3.26%,0.89%,-0.09%,
Dividend Yield,1.40%,3.28%,5.21%,0.88%,1.08%,
Dividend per Share Growth,-85.40%,111.42%,32.86%,-28.32%,19.67%,
Net Asset Value per Share (exc. Intangibles),-145.25p,8.03p,20.94p,16.21p,-19.43p,
Net Gearing,39.26%,11.88%,16.01%,17.16%,54.78%,
