Ratios - based on IFRS,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
PE Ratio,25.72,18.54,19.35,14.78,17.77,
PEG,-1.40,0.66,0.48,0.07,-0.25,
Earnings per Share Growth,-18.39%,28.02%,40.34%,225.84%,-70.99%,
Dividend Cover,0.76,0.95,1.19,0.20,1.05,
Revenue Per Share,418.96p,419.50p,512.61p,591.94p,536.18p,
Pre-Tax Profit per Share,48.03p,57.48p,93.05p,93.44p,81.33p,
Operating Margin,19.12%,19.59%,22.46%,22.53%,22.54%,
Return on Capital Employed,5.68%,5.79%,6.95%,6.90%,5.97%,
Dividend Yield,5.13%,5.69%,4.35%,33.54%,5.34%,
Dividend per Share Growth,2.17%,1.87%,0.34%,2.04%,11.69%,
Net Asset Value per Share (exc. Intangibles),343.02p,389.07p,302.57p,437.62p,449.11p,
Net Gearing,153.29%,153.12%,188.02%,144.97%,155.73%,
