Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,-,9.81,7.27,4.46,7.66,
PEG,-,-,0.22,0.11,0.67,
Earnings per Share Growth,-,-,33.07%,41.72%,11.39%,
Dividend Cover,-2.07,2.19,1.20,2.89,0.68,
Revenue Per Share,114.11p,110.01p,167.89p,276.98p,346.07p,
Pre-Tax Profit per Share,-2.89p,34.69p,51.99p,67.42p,71.51p,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,1.79%,4.65%,11.43%,7.75%,19.28%,
Dividend per Share Growth,-86.40%,250.96%,188.57%,1.86%,11.08%,
Net Asset Value per Share (exc. Intangibles),307.15p,306.23p,300.14p,328.56p,394.34p,
Net Gearing,-,-,-,-,-,
