Ratios - based on IFRS,"30.01.21
(£m)","29.01.22
(£m)","28.01.23
(£m)","27.01.24
(£m)","25.01.25
(£m)",
PE Ratio,34.62,14.27,11.57,12.86,15.18,
PEG,-0.65,0.10,1.50,0.84,-2.16,
Earnings per Share Growth,-53.62%,142.95%,7.73%,15.38%,-7.03%,
Dividend Cover,-,1.97,2.97,3.20,2.64,
Revenue Per Share,"2,708.13p","3,645.29p","4,067.55p","4,539.23p","5,125.24p",
Pre-Tax Profit per Share,261.97p,644.83p,690.85p,834.02p,821.21p,
Operating Margin,12.56%,19.47%,18.42%,17.87%,17.47%,
Return on Capital Employed,24.29%,45.55%,45.22%,42.66%,41.06%,
Dividend Yield,-,3.56%,2.91%,2.43%,2.49%,
Dividend per Share Growth,-,-,-28.71%,7.25%,12.56%,
Net Asset Value per Share (exc. Intangibles),469.07p,730.13p,833.43p,592.27p,728.63p,
Net Gearing,98.08%,60.97%,67.90%,56.78%,50.41%,
