Ratios - based on IFRS What's this?,"30.04.20
(£m)","30.04.21
(£m)","30.04.22
(£m)","30.04.23
(£m)","30.04.24
(£m)",
PE Ratio,65.92,30.43,-,-,32.29,
PEG,-10.31,0.16,-,-,-,
Earnings per Share Growth,-6.40%,189.46%,-,-,-,
Dividend Cover,-,-,-,-,-,
Revenue Per Share,28.57p,79.77p,-16.75p,-6.05p,92.69p,
Pre-Tax Profit per Share,-,-,-,-,-,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,-,-,-,-,-,
Dividend per Share Growth,-,-,-,-,-,
Net Asset Value per Share (exc. Intangibles),171.56p,251.06p,239.48p,223.95p,315.41p,
Net Gearing,-,-,-,-,-,
