Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,7.63,-,-,-,-,
PEG,0.01,-,-,-,-,
Earnings per Share Growth,952.29%,-,-,-,-,
Dividend Cover,1.93,-1.77,-3.65,-0.26,-2.02,
Revenue Per Share,"2,625.15p","2,459.02p","-3,178.08p","2,679.32p","2,029.31p",
Pre-Tax Profit per Share,229.35p,34.07p,-204.30p,27.77p,-81.40p,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,6.78%,7.49%,8.35%,9.84%,10.59%,
Dividend per Share Growth,1.22%,3.23%,3.89%,3.64%,2.28%,
Net Asset Value per Share (exc. Intangibles),229.18p,174.48p,59.88p,96.05p,-7.68p,
Net Gearing,-,-,-,-,-,
