Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,0.17,20.63,37.07,18.14,9.47,
PEG,0.00,-,-,0.26,0.27,
Earnings per Share Growth,168.57%,-,-,70.14%,35.06%,
Dividend Cover,260.37,5.18,2.07,3.22,4.00,
Revenue Per Share,"2,169.26p","1,021.77¢",-299.34¢,391.83¢,453.34¢,
Pre-Tax Profit per Share,96.58p,117.50¢,50.15¢,84.49¢,123.46¢,
Operating Margin,-,-,-,-,-,
Return on Capital Employed,-,-,-,-,-,
Dividend Yield,2.33%,0.94%,1.30%,1.71%,2.64%,
Dividend per Share Growth,-89.73%,-37.38%,9.32%,9.66%,8.77%,
Net Asset Value per Share (exc. Intangibles),-16.40p,339.46¢,324.22¢,469.98¢,482.40¢,
Net Gearing,-,-,-,-,-,
