Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,1.93,3.33,-,3.46,7.62,
PEG,0.02,-0.10,-,-,-0.15,
Earnings per Share Growth,84.77%,-32.32%,-,-,-51.69%,
Dividend Cover,45.30,-,-12.42,25.32,9.69,
Revenue Per Share,"2,349.81¢","1,632.75¢",-507.69¢,"1,663.77¢",900.06¢,
Pre-Tax Profit per Share,"1,901.59¢","1,267.34¢",-628.05¢,"1,351.51¢",644.23¢,
Operating Margin,82.72%,80.54%,-,84.62%,76.23%,
Return on Capital Employed,52.43%,25.59%,-10.61%,-,10.07%,
Dividend Yield,1.15%,-,1.37%,1.14%,1.35%,
Dividend per Share Growth,-0.27%,-,-,-,26.27%,
Net Asset Value per Share (exc. Intangibles),"4,546.25¢","5,729.78¢","5,176.58¢","6,504.12¢","7,111.67¢",
Net Gearing,-,-,-,-,-,
