Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,13.81,11.57,6.92,17.36,14.33,
PEG,-0.55,0.49,-0.24,-0.32,3.40,
Earnings per Share Growth,-25.13%,23.55%,-28.77%,-54.49%,4.21%,
Dividend Cover,0.85,1.05,0.75,1.33,1.39,
Revenue Per Share,"1,041.16p","1,131.82p","1,195.43p",868.80p,998.73p,
Pre-Tax Profit per Share,245.19p,303.07p,228.92p,110.21p,112.05p,
Operating Margin,23.54%,26.60%,19.00%,12.51%,11.54%,
Return on Capital Employed,23.06%,26.89%,20.52%,10.12%,10.63%,
Dividend Yield,8.49%,8.23%,19.31%,4.32%,5.01%,
Dividend per Share Growth,-54.33%,119.16%,-0.36%,-66.70%,-25.66%,
Net Asset Value per Share (exc. Intangibles),"1,046.07p","1,081.04p","1,023.17p","1,018.44p","1,044.65p",
Net Gearing,-,-,-,-,-,
