Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,16.60,29.06,28.63,18.16,19.88,
PEG,0.82,-0.60,0.52,0.29,0.94,
Earnings per Share Growth,20.26%,-48.40%,55.45%,61.89%,21.14%,
Dividend Cover,3.04,1.03,1.53,2.34,1.21,
Revenue Per Share,448.47p,454.58p,520.39p,516.37p,526.34p,
Pre-Tax Profit per Share,46.07p,20.69p,43.63p,69.15p,75.28p,
Operating Margin,11.95%,5.31%,7.03%,13.53%,15.37%,
Return on Capital Employed,7.27%,3.54%,5.03%,9.23%,10.23%,
Dividend Yield,1.98%,3.34%,2.29%,2.35%,4.15%,
Dividend per Share Growth,3.77%,1.09%,-2.81%,13.68%,4.44%,
Net Asset Value per Share (exc. Intangibles),183.82p,198.75p,171.60p,127.03p,152.05p,
Net Gearing,-1.36%,-2.39%,15.27%,21.36%,23.01%,
