Ratios - based on IFRS,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,28.23,31.48,26.85,33.05,35.03,
PEG,-1.55,1.54,2.30,3.16,3.58,
Earnings per Share Growth,-18.18%,20.49%,11.66%,10.45%,9.79%,
Dividend Cover,1.35,1.53,1.56,1.60,0.74,
Revenue Per Share,368.11p,375.73p,445.82p,484.25p,504.22p,
Pre-Tax Profit per Share,76.00p,91.70p,109.15p,118.88p,134.37p,
Operating Margin,23.36%,25.83%,26.94%,28.77%,29.87%,
Return on Capital Employed,19.28%,20.63%,23.61%,25.99%,28.13%,
Dividend Yield,2.62%,2.07%,2.39%,1.89%,3.85%,
Dividend per Share Growth,7.72%,4.90%,5.86%,9.51%,10.44%,
Net Asset Value per Share (exc. Intangibles),-443.92p,-385.50p,-426.07p,-414.61p,-425.61p,
Net Gearing,322.06%,180.88%,164.57%,183.29%,184.57%,
