Ratios - based on IFRS,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
PE Ratio,12.32,5.07,9.07,11.96,8.30,
PEG,0.55,0.04,-0.22,-0.63,0.58,
Earnings per Share Growth,22.58%,116.39%,-41.17%,-19.11%,14.42%,
Dividend Cover,1.48,1.25,1.03,1.82,0.96,
Revenue Per Share,"2,750.66¢","3,923.32¢","3,429.68¢","3,332.98¢","3,296.86¢",
Pre-Tax Profit per Share,908.79¢,"1,840.77¢","1,104.15¢",808.56¢,907.93¢,
Operating Margin,44.03%,52.61%,40.30%,33.23%,26.91%,
Return on Capital Employed,35.00%,54.70%,36.10%,30.70%,23.26%,
Dividend Yield,5.49%,15.75%,10.71%,4.60%,12.62%,
Dividend per Share Growth,-39.38%,150.17%,-22.59%,-69.89%,92.79%,
Net Asset Value per Share (exc. Intangibles),"3,476.85¢","3,823.37¢","3,657.33¢","3,044.63¢","3,184.16¢",
Net Gearing,-,-,8.56%,-15.58%,7.79%,
