Ratios - based on IFRS What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
PE Ratio,37.56,-,17.61,23.78,23.67,
PEG,-,-,-,-0.80,-2.07,
Earnings per Share Growth,-,-,-,-29.63%,-11.41%,
Dividend Cover,0.92,-0.05,1.78,1.18,0.81,
Revenue Per Share,"1,962.95p","1,854.13p","2,020.59p","2,038.09p","2,017.50p",
Pre-Tax Profit per Share,262.89p,-36.01p,429.06p,335.01p,299.59p,
Operating Margin,15.44%,20.51%,22.38%,17.33%,17.11%,
Return on Capital Employed,10.58%,15.02%,18.64%,14.46%,14.96%,
Dividend Yield,2.91%,2.75%,3.19%,3.55%,5.22%,
Dividend per Share Growth,-1.28%,0.75%,-3.17%,8.47%,8.91%,
Net Asset Value per Share (exc. Intangibles),"-1,945.18p","-1,605.38p","-1,503.29p","-1,420.11p","-1,582.53p",
Net Gearing,95.12%,108.61%,78.53%,84.64%,116.11%,
