Ratios - based on IFRS What's this?,"31.12.19
(£m)","31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)",
PE Ratio,32.38,51.65,37.32,21.85,23.49,
PEG,3.26,-1.44,0.54,2.22,5.00,
Earnings per Share Growth,9.94%,-35.79%,69.51%,9.86%,4.70%,
Dividend Cover,2.72,-,2.73,2.75,2.63,
Revenue Per Share,32.72p,23.55p,35.50p,39.82p,44.79p,
Pre-Tax Profit per Share,24.15p,15.43p,26.28p,28.89p,31.94p,
Operating Margin,73.87%,65.69%,74.16%,72.56%,70.83%,
Return on Capital Employed,539.79%,152.55%,233.48%,348.02%,369.12%,
Dividend Yield,1.14%,-,0.98%,1.66%,1.62%,
Dividend per Share Growth,12.37%,-,-,9.80%,4.44%,
Net Asset Value per Share (exc. Intangibles),2.22p,11.60p,5.84p,5.60p,5.94p,
Net Gearing,-58.18%,-,-,-,-52.73%,
